id,box_number,length,width,height
1,SP-1001,15.0,15.0,20.0
2,SP-1002,20.0,20.0,32.0
3,SP-1003,32.5,32.5,50.0
4,SP-101,11.0,12.0,24.0
5,SP-102,20.0,20.0,25.0
6,SP-103,34.0,20.5,24.5
7,SP-104,45.0,30.0,30.0
8,SP-105,55.0,20.0,65.0
9,SP-106,40.0,50.0,60.0
10,SP-107,30.0,30.0,45.0
11,SP-108,6.0,12.0,21.0
12,SP-109,10.0,20.0,28.0
13,SP-110,12.0,30.0,48.0
14,SP-111,13.0,41.0,64.0
15,SP-112,25.0,20.0,15.0
16,SP-113,45.0,30.0,23.0
17,SP-114,34.0,24.0,12.0
18,SP-115,45.0,30.0,12.0
19,SP-17,55.0,20.0,65.0
20,SP-18,55.0,20.0,65.0
21,SP-20,20.0,20.0,25.0
22,SP-21,20.0,20.0,25.0
