sku_id,length,width,height
0fa25745b0e1d8a63caacb7ea6639f6c825d96ca157bb77ea4b55cd4e0b7b020,50.0,29.0,44.0
f8b3960858784b45e85ff7fed33d8538d711efcb6672c5a2f1c0ea65e478b0ea,10.0,5.0,3.0
50b33759532df7664e435eac02c62197304c80c13af3dde1f1ab4818e4ef00df,4.0,17.0,8.0
b398bd222151d4223576eba6d0ee3c2125f27f351336f6900eecb29a6ed8d22b,16.0,10.0,3.0
62983ad925d16e06ad8b5df2d29bb31be7efc571f2ae7c569afbabe6240c247a,16.0,11.0,17.0
889d0409821df0281a127809f8a5c5b923bc67db29538d1ac6473759a51d0436,10.0,10.5,22.5
aba4433c3997d1752172722dfd24d41f6defea8bfd6279a0b64658c858e070f0,10.0,10.0,3.3
78e3413f3adbd925cb5e16f4f9ec06e092118c83d1abfc28e4055a9dac3ab67c,10.0,4.0,15.0
a43413e02dba3f91e702b58e1ec264df0b23993d52db40f46bfdb01133f39aaf,4.0,2.0,8.5
e18b6d606f95aceba4ef7e58d24e47b12df8eb4c08d5c95bfc5db7b4723d8ce0,5.0,5.0,3.0
f9cdd3e3d403edcbbbd06b89d814580d843bac585a84d8ec4e02a215ec0a7b05,8.0,10.0,6.0
bd413f321ac851d8880feec557770ebf1d80ac1c728228702d9735bc7d5f5f87,20.0,20.0,20.0
7553a5dc01db72e89392d238defc1be8becca97d82113bcdbeea6835456bdf97,3.0,3.0,9.0
cc8656be002dee7bb2742a3db9a00947df198a8d2f8e86ef5525bd3d710b1ab5,10.0,8.0,30.0
669b5a2dc3ae08682ee1b30bc5a7215a5c1794cb40bd995d2bb34802919768ee,23.0,12.0,5.0
165a79ef3a35ba3c24e9442f8105fc8c53a816dd75d2c38980fdaf18347211db,6.0,6.0,11.0
52f1fe7bbbc5d09decf8ac60ac8753fb675b3fbebcaa007995fb11b826d80b7b,15.0,15.0,8.0
cfd8393f3ab825625851477a5f3ac77c14ecdfd9402f750a1c5f31e159cd8002,9.0,8.0,26.0
0e05125eeef525f358130891d9703b7ee48d5fcc202800c164414359d9bcd734,12.0,11.0,19.0
e71b4dd9d906bc31f76df01a15c29260f2c0c1b10511daca702480b4f4586bcf,45.0,24.0,44.0
1b8097c77e150b12107860c757ce6fec48cf679830bae9d7738ae2c4dae7022c,9.0,4.0,3.0
8d1cc1d5ce6e592db4b58508d9922c47bb58f354734a3c4cbaf4ff10291fceb9,10.0,2.0,15.5
2af803e7d76bef1734df9a039b60975182f49ea4d4f4fdabceb2b657ec3a240b,28.0,4.0,34.0
7cf8cf0e7bdd6be194760b641a93a71617104bb87f225704261145da7a1f33fc,14.0,3.0,23.0
39c6fac9f71d810f55802273c2c59a5f2e1368ea53a17a767a835ad234a98099,14.0,23.0,2.0
79dc4543aa87f75717bd5026be2833ed5f8e4fbe28f317aa7e2ff1cb30201d8b,13.0,8.0,1.0
e855bb9aacb85fb4c83a77175b8ff4e4b8169bfa5641f7f99a9df4f450f62c1e,6.0,13.0,24.0
a29364a981c5fb5842b362da4dd141f158321b00dda0bc514259324c10777b20,18.0,13.0,11.0
5d580765f31f897e3f7a805bb001ed87975fa79cdfaf8d510a7816d56a6b0985,13.0,8.0,3.0
9ad19d1ae99aa4d504f5bef3f07dc057b40d7e2bf3f675c485aab0e0b856d481,13.0,7.0,3.0
b01a1a5257b84b46497471ff3865002b546112e0feb7857b9e8b147e04f22a39,15.0,7.0,19.0
03a4f83556a4912cac26e069574eaa9ee7f6fb9b584e41c1950ff3f629008ee8,20.0,5.0,27.0
90928e7fd38760b3f74e3c6a2e43f51c567e308d13ee0aeabeefd9e2d5fe22a3,21.0,5.0,29.0
cdfddda8caaf3277c334eb7e961e2c99319bac21b4be56de39f606620d2a5832,20.0,10.5,34.0
c80287d4056b31f9dafd2480ae2fd3b2f588f90aaa51f5455be685c279cc7ad1,10.0,10.0,30.0
87c17fef31129ca19288a49132f45a455dd8f1bb319b24a562fd46a1ebbebc88,10.0,4.0,6.0
a273ec236954fab7588d9a1b427b5bf7219fda86d7701bbbadf2ef559e245a40,36.0,6.0,24.0
89d91796f4d0d6b7756c7bb84ee3e9408b0ef7066e37e2d1d0ebc33566b5b517,51.0,37.0,41.0
81532339742138bc9c775d519d7231077a130ed8fd21060afd5468fe5a6978c8,31.0,8.0,1.0
51fa46b430e29d22ba76781db006c1a00250026962ebbf9fe8c0d57bece404de,8.0,3.0,12.0
57e76084375d6be2004427fa65b770af4a2c45d1c60891a89f0bb55501740ecf,39.0,25.0,47.0
c113a067d3aa9f3fe2a7608d6b4678b54099d29dac95c3213185058abee96a44,15.0,1.0,21.0
7e124e70847dae5dfea530cfe8686decdb44c59c33cfbdac3ab8d3c468e408e9,3.0,3.0,14.0
f432ae9bf9d1b577b4e67c9da5cd3b6822bb85a6ca34d6960594724239979040,15.0,10.0,1.0
a8cb26b1c4a9b11017993cbd5bad97634dcb3484de4004a6cfd1b21c7f75417b,28.0,9.0,31.0
2939910695adfbe196473e198aa65ab99a270c074486480426c4073cab53b2b8,11.0,2.0,5.0
d873c6cb377a9c1f81618477aebc01057068c40d2a9dbf1d5bc43c0c954f511b,10.0,2.0,10.0
462d761e3bff8920a748e8f1513ed52b221403e0c7b9fcb35e4900e2cb61b622,8.5,3.5,19.5
d74cbdff188ac93c8206d65f93f1b46c9e63c0fd29030ac47ceecda94044bbf5,11.0,10.0,1.0
71bc690fb03e821b6b26295886e3051398c1cb6e11435f5acc69f4a70cc3d674,4.0,10.0,12.0
f2c31ce5d300be16fff7eec949783eda172e03dd2c994d72049f3001c2cd04e7,2.0,16.0,21.0
12921515a2ffd6ed01f5be0c224e35e41737e90ee61dab80d126c6f146301952,23.0,4.0,17.0
dfe33bb2990ac9486b51f89a3d417545be614c060d8a4447e070aae53fc67d4d,15.0,2.0,2.0
112148a71b14856a53c9542406e5a5b7fa528b8d93d253e083a56710fc603004,1.0,1.0,11.0
8529c022fee13d47a9e00c1c303cd0b3fb1d65e641642ac3fcb73db5eb715ede,6.0,7.0,7.0
75896658f74e5b5de2b2050de4a76f3bf000e1858aa13026c36724337f0fe0e2,14.5,2.5,3.0
61bdce3351cc170ed5276add2d85468c5ebeff6e5f656ac6002149650c8ceff9,16.0,4.0,3.0
6f9e48d1c8f2222dee8bc42d750a8d9af0c3aab93f6173c4d1339f44eb878d12,13.0,3.0,7.0
5c3acfae214c5f55189dc5e1af9e29f8fc5aef366f402555eee6ec63b653fcf4,3.0,3.0,15.0
44eaefee4b6ba617a69518fdff9527521fb198beaf0879ef1d12563b2aa2e5c7,48.5,48.5,48.5
d9b24ed61171c1481fc342be72579f609c1aac711c5f7609d61d651169b2c81b,2.0,2.0,2.0
91ac4e5244c169035ea5d7a4acfee6fdb89afa29ae15636bd398d66d8453a7a0,7.0,14.0,2.0
